id,title,genres,language,duration,description,director,rating,releaseDate,isActive,tags
164,So marriage town,Thriller,Hindi,100,Moment mention fight table personal rise people. Let ok be factor out leader. Successful indicate positive partner use open traditional computer. Police number great again team.,Greta Gerwig,8.9,2006-03-09,true,survival
165,Way seven,"Horror, Adventure, Thriller",Japanese,89,Hotel task my produce paper modern. Adult director walk vote. Art direction anyone first cause behind.,Ridley Scott,1.9,2009-03-31,true,family
166,Sense always,Animation,Mandarin,83,Hear believe southern democratic concern none. Health join eat writer send individual ready yes. Establish window plan note sense opportunity approach.,Steven Spielberg,6.7,2021-06-09,true,"love, coming-of-age, time travel"
167,Deal whatever myself,"Action, Documentary","French, Japanese",97,Century seem large make. Box PM tax friend. Fly seek year return would build scientist various.,Denis Villeneuve,7.0,2021-08-25,true,heist
168,Phone range fight,"Horror, Adventure, Drama","Korean, German",100,Require guy woman at thank treatment all she. Two find win ahead compare billion quality. Democrat respond contain.,Bong Joon-ho,8.5,1989-01-06,true,future
169,Sometimes reveal,"Thriller, Drama, Comedy",Korean,99,Daughter stage chance artist. Key soon occur lot step class avoid lose.,Ava DuVernay,4.2,1999-06-09,true,"future, time travel, war"
170,Painting until sport,"Action, Animation, Comedy","Korean, Hindi",86,Which politics concern along. Manager many environment short.,Jordan Peele,1.0,2013-11-09,true,crime
171,Remain throw,Horror,English,133,World rule make note door different. Reach production risk ever hope. Performance information popular plan.,Christopher Nolan,9.9,2010-03-30,true,"friendship, heist, time travel"
172,Particular hot,Drama,English,133,Everybody machine writer first. Top item medical clear show summer kid. Recent large benefit this leg concern.,Wes Anderson,2.0,2009-05-07,true,"time travel, revenge, underdog"
173,Opportunity whose take,"Thriller, Documentary, Comedy",Hindi,93,Manage return long program. Pm ability commercial just technology simple say. Front kind wrong face cultural. Detail nation may.,Denis Villeneuve,3.9,1981-05-06,true,"dreams, love"
174,Kitchen,Adventure,French,164,Together future nor scene because several. Increase population statement fight prepare main even.,James Cameron,3.5,2013-02-06,true,love
175,Recognize account,"Documentary, Adventure",Spanish,112,Cold need use may. Possible debate happen. Most skill expert machine really hit food. Oil end well.,Steven Spielberg,6.4,2014-11-10,true,"space, crime, underdog"
176,Day treat,"Romance, Adventure, Comedy","English, Korean",154,Can community without have else. Clear hotel sell realize.,Ava DuVernay,4.4,2000-11-07,true,"dreams, time travel, underdog"
177,Room able example,"Comedy, Sci-Fi, Horror","Hindi, Korean",90,Whose positive kitchen better show character. Instead certainly price man investment cut. Charge quite maybe loss audience any effort.,Christopher Nolan,2.2,2024-09-28,true,love
178,Significant respond quality,Action,Mandarin,174,Both least onto our study. Long each them sit policy sense party data. Cultural cultural land involve mention necessary someone.,Sofia Coppola,4.0,2004-12-13,true,future
179,Ok more generation,"Sci-Fi, Action",Japanese,123,Decision that its Mrs treat her Congress. Economic also space play.,Martin Scorsese,2.9,1984-11-06,false,"time travel, mystery, friendship"
180,Past lose window do,"Horror, Thriller, Romance",Mandarin,160,Card often mission heavy might type. Identify project upon upon computer training sister right. Must less young child. Its movement together last key scientist know similar.,Christopher Nolan,1.6,2024-02-09,true,dreams
181,Which provide director,"Drama, Horror, Documentary",Spanish,155,Away yet work animal present just traditional. Wear off notice describe gun realize exactly. Citizen eight hold area dog charge. Realize marriage hope board movie sister book.,Wes Anderson,8.5,1998-05-02,true,love
182,Statement senior ball,"Adventure, Sci-Fi, Drama",Hindi,134,Feeling hundred war will consumer level summer outside. Live challenge however record follow action.,Bong Joon-ho,6.5,2007-03-12,true,"friendship, time travel"
183,Need quality,"Adventure, Comedy","German, Hindi",101,Meet Republican great simple society. Often speech tree.,Ava DuVernay,5.0,2025-05-01,true,"mystery, space"
184,Its rather record,"Action, Thriller","French, German",118,Population theory fine administration force. Pattern financial sense section general.,Jordan Peele,5.8,1995-10-06,true,"family, war"
185,Maintain event student week,"Thriller, Animation","French, Spanish",97,Yard subject peace hot respond. Material truth painting know central claim recently. That her push series food.,Chloe Zhao,5.2,1993-11-18,false,dreams
186,Down alone,"Romance, Adventure, Thriller","German, Japanese",127,Action least guy art suggest success source. Like throughout join none task reality today board.,Quentin Tarantino,5.4,1986-05-23,true,underdog
187,Drive never power,Thriller,Hindi,177,Us middle their choice.,Quentin Tarantino,9.6,2011-04-10,true,"friendship, survival"
188,Modern,"Action, Thriller","Hindi, French",141,Area I teach. Range week hand this get nothing term throw. Ten term eight green.,Christopher Nolan,9.3,2012-06-03,true,"dreams, survival, friendship"
189,Full deep camera,"Drama, Sci-Fi, Adventure",Korean,111,Worry finally short couple soon occur health. Travel I outside decade.,Jordan Peele,6.2,1994-06-25,true,friendship
190,Edge,"Thriller, Documentary, Comedy",German,101,First on onto among. Glass process shake. Hard assume style state decade tough practice as.,James Cameron,4.8,2007-02-11,true,"friendship, love, revenge"
191,Million machine,"Thriller, Comedy",Japanese,98,Possible as still word rather official over.,Greta Gerwig,7.7,2015-09-14,true,space
192,Certainly every car,"Action, Comedy",German,147,On serious threat however measure which doctor. Need argue certain maybe. Fly ten nice.,Quentin Tarantino,6.9,2018-08-30,true,"space, survival"
193,Season number,Horror,"Spanish, Korean",94,Apply reduce national season month inside. Party necessary nature even which.,Ava DuVernay,6.1,1999-01-26,true,survival
194,Them myself wait into,Horror,"German, Hindi",160,Attorney side toward political walk reach head. Leader morning already human check agree skill.,Sofia Coppola,6.6,1994-11-26,true,love
195,These,Sci-Fi,Japanese,83,You once yourself evening hospital blue. Teacher catch threat. True apply house heart heavy.,Jordan Peele,3.1,2023-07-12,true,dreams
196,Suffer stop,Sci-Fi,English,92,Pay strong system popular recent into.,Martin Scorsese,5.7,1980-08-25,true,"mystery, family, war"
197,Mrs off step,"Romance, Thriller","Japanese, Mandarin",123,Record eat benefit own maintain difficult charge. Successful among course thank bar so simply. Space adult by catch institution site.,Denis Villeneuve,8.4,2012-05-28,true,"revenge, dreams"
198,Author share thank,"Romance, Comedy",Mandarin,169,Push direction ball avoid plan. Candidate possible seven.,Quentin Tarantino,7.5,1992-06-16,true,coming-of-age
199,Doctor last,"Sci-Fi, Horror, Romance","Mandarin, Korean",132,Board despite task economic partner work during. Have class make TV somebody. Final describe cultural think middle. Plan sort indicate idea together.,Taika Waititi,2.7,2008-11-26,true,"coming-of-age, dreams"
200,Hotel set alone,"Romance, Adventure, Horror","German, Japanese",158,American anyone growth news price TV record. Name foreign strategy tend apply. Table especially range would.,Ridley Scott,1.7,2018-05-22,false,"friendship, coming-of-age"
201,Law blood player,"Comedy, Thriller, Sci-Fi",Spanish,146,Per treat song people rich blood example. Woman the boy prove successful work style. Even image thousand price game.,Sofia Coppola,6.1,2025-04-09,true,"mystery, heist"
202,Law along,"Animation, Adventure",Mandarin,94,Increase center how into network fact. Project dog them rate detail use. International guess per goal outside collection director.,Ava DuVernay,7.0,2001-08-11,true,mystery
203,Two something,"Comedy, Documentary, Thriller",Spanish,121,Bill into continue investment especially suffer pass. Money hot fine though.,Sofia Coppola,4.5,2005-02-24,true,"friendship, war"
204,Might identify Republican,"Comedy, Drama, Adventure",Japanese,108,Process sell customer probably. Picture baby without generation. Spring watch to clearly.,Sofia Coppola,6.2,1985-10-20,true,"underdog, survival"
205,Face could fill,"Thriller, Animation, Documentary",Hindi,113,Knowledge security dinner per south. Lot herself particular will. Newspaper thing get national program mission.,Steven Spielberg,3.6,1989-12-28,true,"revenge, time travel, survival"
206,Product build,Documentary,"Spanish, German",120,Fight month film event tend crime live. Pick bit main imagine keep operation special. His medical drug eye.,Quentin Tarantino,6.2,1980-02-25,true,"future, time travel, love"
207,Forget beat,"Romance, Documentary",Hindi,93,First free back today production face hard can.,Quentin Tarantino,1.1,2021-04-28,true,"coming-of-age, time travel"
208,Down natural accept,"Adventure, Drama","Spanish, Japanese",165,Provide answer story property. Parent bring fill defense early. Successful after standard high believe itself.,James Cameron,8.2,1983-01-30,true,"future, survival"
209,Here war,Sci-Fi,"Hindi, Mandarin",117,Thing direction little time military according. Become environment picture medical administration accept born hear.,Chloe Zhao,9.7,1985-04-11,false,"space, coming-of-age"
210,Prevent federal,"Horror, Documentary, Action",Mandarin,173,Find grow evidence tax. Force simple my tax himself already. Company hour risk suddenly military movement drop.,Quentin Tarantino,3.7,1994-04-13,false,"love, crime, underdog"
211,Million attention still,"Adventure, Romance, Thriller","French, Korean",173,Cause life college crime those statement page. Up skin rich his economy about against.,Greta Gerwig,3.5,1997-07-02,true,"love, heist, space"
212,Huge,"Documentary, Action","Mandarin, Japanese",100,Group rich purpose pass memory.,Jordan Peele,2.2,2023-04-13,true,time travel
213,Look decision agreement,Horror,Japanese,172,Dream yes space lead coach site. Strategy party food energy debate. Three forward answer less ground force.,James Cameron,6.2,1993-03-29,true,"friendship, coming-of-age"
214,Clearly serious,Action,Japanese,140,Operation appear soldier seven technology. Life couple figure hard crime probably speak. Its certain arrive here artist agent no religious.,Bong Joon-ho,9.5,1990-07-12,false,"crime, revenge, love"
215,Level think,Thriller,English,95,Election recognize boy system. Before attention past become customer. Information response wind within choose guess.,Martin Scorsese,4.6,2007-02-26,true,friendship
216,Those community,"Thriller, Comedy, Adventure","Korean, Japanese",163,Include music position.,Ava DuVernay,4.3,1990-10-07,true,war
217,Cold minute,"Animation, Horror, Action","Korean, Japanese",175,Surface participant pattern Mrs others under. Happen toward north choose as.,Steven Spielberg,8.1,1996-03-31,true,"survival, love, family"
218,Everything main compare,"Drama, Comedy, Romance",Spanish,131,Knowledge green hand bill method since message thought. Yet cut could make interest significant.,James Cameron,7.3,2015-04-30,true,"mystery, underdog, future"
219,Decision same,"Comedy, Animation",Hindi,164,Camera author difference set. Manage skill political quite energy available expert.,Sofia Coppola,2.1,1996-02-22,true,"mystery, crime"
220,Democrat society eye,Action,Hindi,163,Eye media Republican discuss interesting minute customer. Gun he expert along. Voice ready use fund who.,Bong Joon-ho,1.8,2003-01-13,false,heist
